5.5,24.222,-1.3227,11.693,92.044,1
5.55,24.514,-1.315,11.706,89.064,1
5.6,24.807,-1.3078,11.715,85.961,1
5.65,25.1,-1.3011,11.721,82.74,1
5.7,25.393,-1.2947,11.723,79.401,1
5.75,25.686,-1.2887,11.722,75.95,1
5.8,25.979,-1.2832,11.719,72.389,1
5.85,26.272,-1.278,11.712,68.722,1
5.9,26.565,-1.2732,11.703,64.952,1
5.95,26.857,-1.2688,11.691,61.082,1
6,27.149,-1.2648,11.678,57.117,1
6.05,27.441,-1.2611,11.662,53.059,1
6.1,27.733,-1.2577,11.645,48.912,1
6.15,28.023,-1.2547,11.626,44.68,1
6.2,28.314,-1.252,11.605,40.366,1
6.25,28.604,-1.2497,11.583,35.975,1
6.3,28.893,-1.2476,11.561,31.51,1
6.35,29.182,-1.2459,11.537,26.975,1
6.4,29.47,-1.2444,11.512,22.373,1
6.45,29.757,-1.2433,11.487,17.709,1
6.5,30.044,-1.2424,11.461,12.985,1
6.55,30.33,-1.2419,11.435,8.2062,1
6.6,30.616,-1.2416,11.409,3.3758,1
6.65,30.901,-1.2415,11.383,-1.5023,1
6.7,31.185,-1.2417,11.356,-6.4245,1
6.75,31.469,-1.2422,11.33,-11.387,1
6.8,31.752,-1.2429,11.304,-16.386,1
6.85,32.034,-1.2438,11.279,-21.418,1
6.9,32.316,-1.245,11.254,-26.478,1
6.95,32.597,-1.2463,11.229,-31.564,1
7,32.877,-1.2479,11.205,-36.671,1
7.05,33.157,-1.2497,11.182,-41.797,1
7.1,33.436,-1.2517,11.16,-46.937,1
7.15,33.715,-1.2539,11.139,-52.087,1
7.2,33.993,-1.2563,11.118,-57.243,1
7.25,34.271,-1.2589,11.099,-62.403,1
7.3,34.548,-1.2616,11.081,-67.562,1
7.35,34.825,-1.2645,11.064,-72.716,1
7.4,35.101,-1.2676,11.048,-77.863,1
7.45,35.377,-1.2708,11.033,-82.997,1
7.5,35.653,-1.2742,11.019,-88.116,1
7.55,35.928,-1.2778,11.007,-93.217,1
7.6,36.203,-1.2815,10.996,-98.296,1
7.65,36.478,-1.2853,10.987,-103.35,1
7.7,36.753,-1.2892,10.978,-108.37,1
7.75,37.027,-1.2933,10.972,-113.36,1
7.8,37.301,-1.2975,10.966,-118.32,1
7.85,37.575,-1.3018,10.962,-123.24,1
7.9,37.849,-1.3062,10.959,-128.11,1
7.95,38.123,-1.3107,10.958,-132.95,1
8,38.397,-1.3154,10.958,-137.73,1
8.05,38.671,-1.3201,10.96,-142.46,1
8.1,38.945,-1.3249,10.963,-147.14,1
8.15,39.219,-1.3298,10.967,-151.76,1
8.2,39.494,-1.3348,10.973,-156.32,1
8.25,39.768,-1.3398,10.979,-160.82,1
8.3,40.043,-1.3449,10.988,-165.25,1
8.35,40.317,-1.3501,10.997,-169.62,1
8.4,40.592,-1.3554,11.008,-173.92,1
8.45,40.868,-1.3607,11.02,-178.14,1
8.5,41.143,-1.366,11.033,-182.29,1
8.55,41.419,-1.3714,11.047,-186.35,1
8.6,41.696,-1.3769,11.062,-190.34,1
8.65,41.972,-1.3824,11.079,-194.24,1
8.7,42.25,-1.3879,11.096,-198.06,1
8.75,42.527,-1.3935,11.114,-201.78,1
8.8,42.805,-1.3991,11.134,-205.42,1
8.85,43.084,-1.4047,11.154,-208.96,1
8.9,43.363,-1.4103,11.174,-212.41,1
8.95,43.643,-1.416,11.196,-215.76,1
9,43.923,-1.4216,11.219,-219.01,1
9.05,44.204,-1.4273,11.242,-222.16,1
9.1,44.485,-1.433,11.265,-225.21,1
9.15,44.767,-1.4387,11.29,-228.15,1
9.2,45.049,-1.4444,11.315,-230.99,1
9.25,45.333,-1.4501,11.34,-233.72,1
9.3,45.616,-1.4558,11.366,-236.34,1
9.35,45.901,-1.4614,11.392,-238.85,1
9.4,46.186,-1.4671,11.419,-241.24,1
9.45,46.472,-1.4727,11.446,-243.53,1
9.5,46.758,-1.4784,11.473,-245.7,1
9.55,47.046,-1.484,11.501,-247.75,1
9.6,47.334,-1.4896,11.529,-249.69,1
9.65,47.622,-1.4951,11.556,-251.51,1
9.7,47.911,-1.5006,11.584,-253.22,1
9.75,48.201,-1.5061,11.612,-254.8,1
9.8,48.492,-1.5116,11.64,-256.27,1
9.85,48.783,-1.517,11.668,-257.62,1
9.9,49.075,-1.5224,11.696,-258.84,1
9.95,49.368,-1.5278,11.724,-259.95,1
10,49.662,-1.5331,11.751,-260.93,1
10.05,49.956,-1.5384,11.779,-261.79,1
10.1,50.251,-1.5436,11.806,-262.52,1
10.15,50.546,-1.5488,11.833,-263.13,1
10.2,50.842,-1.5539,11.859,-263.62,1
10.25,51.139,-1.559,11.885,-263.98,1
10.3,51.436,-1.564,11.911,-264.21,1
10.35,51.735,-1.569,11.936,-264.33,1
10.4,52.033,-1.5739,11.961,-264.31,1
10.45,52.333,-1.5787,11.986,-264.17,1
10.5,52.633,-1.5835,12.01,-263.91,1
10.55,52.933,-1.5882,12.034,-263.52,1
10.6,53.234,-1.5929,12.057,-263,1
10.65,53.536,-1.5975,12.079,-262.36,1
10.7,53.838,-1.6021,12.101,-261.6,1
10.75,54.141,-1.6066,12.123,-260.71,1
10.8,54.444,-1.611,12.144,-259.7,1
10.85,54.748,-1.6153,12.164,-258.57,1
10.9,55.052,-1.6196,12.184,-257.31,1
10.95,55.357,-1.6238,12.203,-255.93,1
11,55.663,-1.6279,12.221,-254.43,1
11.05,55.968,-1.632,12.239,-252.81,1
11.1,56.274,-1.636,12.256,-251.06,1
11.15,56.581,-1.6399,12.272,-249.2,1
11.2,56.888,-1.6438,12.288,-247.22,1
11.25,57.195,-1.6476,12.303,-245.13,1
11.3,57.503,-1.6513,12.317,-242.91,1
11.35,57.811,-1.6549,12.331,-240.59,1
11.4,58.12,-1.6585,12.344,-238.14,1
11.45,58.429,-1.662,12.356,-235.59,1
11.5,58.738,-1.6654,12.367,-232.92,1
11.55,59.047,-1.6687,12.378,-230.15,1
11.6,59.357,-1.672,12.388,-227.26,1
11.65,59.666,-1.6752,12.398,-224.27,1
11.7,59.976,-1.6783,12.407,-221.16,1
11.75,60.287,-1.6813,12.415,-217.95,1
11.8,60.597,-1.6843,12.422,-214.64,1
11.85,60.908,-1.6872,12.429,-211.22,1
11.9,61.219,-1.69,12.436,-207.7,1
11.95,61.53,-1.6927,12.441,-204.08,1
12,61.841,-1.6954,12.446,-200.36,1
12.05,62.152,-1.698,12.45,-196.55,1
12.1,62.463,-1.7005,12.454,-192.63,1
12.15,62.775,-1.7029,12.458,-188.63,1
12.2,63.086,-1.7052,12.46,-184.52,1
12.25,63.398,-1.7075,12.462,-180.33,1
12.3,63.709,-1.7097,12.464,-176.05,1
12.35,64.021,-1.7119,12.465,-171.68,1
12.4,64.332,-1.7139,12.465,-167.22,1
12.45,64.644,-1.7159,12.465,-162.68,1
12.5,64.956,-1.7178,12.465,-158.05,1
12.55,65.267,-1.7197,12.464,-153.35,1
12.6,65.579,-1.7214,12.463,-148.56,1
12.65,65.89,-1.7231,12.461,-143.69,1
12.7,66.202,-1.7247,12.459,-138.75,1
12.75,66.513,-1.7263,12.456,-133.74,1
12.8,66.825,-1.7277,12.453,-128.65,1
12.85,67.136,-1.7291,12.449,-123.49,1
12.9,67.447,-1.7305,12.446,-118.26,1
12.95,67.758,-1.7317,12.441,-112.97,1
13,68.069,-1.7329,12.437,-107.61,1
13.05,68.38,-1.7341,12.432,-102.19,1
13.1,68.691,-1.7351,12.427,-96.705,1
13.15,69.001,-1.7361,12.422,-91.164,1
13.2,69.312,-1.737,12.416,-85.566,1
13.25,69.622,-1.7379,12.411,-79.913,1
13.3,69.932,-1.7387,12.405,-74.206,1
13.35,70.242,-1.7394,12.398,-68.447,1
13.4,70.552,-1.7401,12.392,-62.64,1
13.45,70.862,-1.7407,12.385,-56.785,1
13.5,71.172,-1.7412,12.379,-50.885,1
13.55,71.481,-1.7417,12.372,-44.943,1
13.6,71.79,-1.7421,12.365,-38.959,1
13.65,72.099,-1.7424,12.358,-32.936,1
13.7,72.408,-1.7427,12.351,-26.877,1
13.75,72.717,-1.743,12.344,-20.783,1
13.8,73.025,-1.7431,12.337,-14.656,1
13.85,73.334,-1.7432,12.329,-8.4991,1
13.9,73.642,-1.7433,12.322,-2.3132,1
13.95,73.95,-1.7433,12.315,3.8992,1
14,74.258,-1.7432,12.307,10.136,1
14.05,74.565,-1.7431,12.3,16.395,1
14.1,74.873,-1.7429,12.293,22.675,1
14.15,75.18,-1.7427,12.286,28.973,1
14.2,75.487,-1.7424,12.279,35.287,1
14.25,75.794,-1.7421,12.272,41.616,1
14.3,76.1,-1.7417,12.265,47.957,1
14.35,76.407,-1.7412,12.258,54.308,1
14.4,76.713,-1.7407,12.251,60.668,1
14.45,77.02,-1.7402,12.245,67.034,1
14.5,77.326,-1.7396,12.238,73.404,1
14.55,77.631,-1.739,12.232,79.777,1
14.6,77.937,-1.7383,12.226,86.149,1
14.65,78.243,-1.7376,12.22,92.521,1
14.7,78.548,-1.7368,12.214,98.888,1
14.75,78.853,-1.736,12.208,105.25,1
14.8,79.159,-1.7351,12.203,111.6,1
14.85,79.464,-1.7342,12.197,117.95,1
14.9,79.768,-1.7332,12.192,124.28,1
14.95,80.073,-1.7322,12.188,130.6,1
15,80.378,-1.7312,12.183,136.91,1
15.05,80.682,-1.7301,12.179,143.19,1
15.1,80.987,-1.729,12.174,149.46,1
15.15,81.291,-1.7278,12.171,155.71,1
15.2,81.595,-1.7266,12.167,161.93,1
15.25,81.899,-1.7254,12.163,168.13,1
15.3,82.203,-1.7241,12.16,174.31,1
15.35,82.507,-1.7228,12.157,180.45,1
15.4,82.811,-1.7215,12.155,186.57,1
15.45,83.115,-1.7201,12.152,192.65,1
15.5,83.419,-1.7187,12.15,198.7,1
15.55,83.723,-1.7172,12.149,204.71,1
15.6,84.026,-1.7158,12.147,210.68,1
15.65,84.33,-1.7142,12.146,216.62,1
15.7,84.634,-1.7127,12.145,222.51,1
15.75,84.937,-1.7111,12.144,228.36,1
15.8,85.241,-1.7095,12.144,234.17,1
15.85,85.544,-1.7079,12.143,239.93,1
15.9,85.848,-1.7063,12.144,245.64,1
15.95,86.152,-1.7046,12.144,251.3,1
16,86.455,-1.7029,12.145,256.92,1
16.05,86.759,-1.7012,12.146,262.47,1
16.1,87.062,-1.6994,12.147,267.98,1
16.15,87.366,-1.6976,12.148,273.43,1
